Column,word,desc,time,lang,pos
0,-a (1),"-a (1)
                  
                  
                  
                  Feminine suffix.
               
                    From Latin -a, from Proto-Italic *-ā, from late Proto-Indo-European *-(e)h2, from Proto-Indo-European *-h2, a suffix indicating collective and abstract animate nouns, from Pre-Proto-Indo-European *-h2, a suffix indicating plurale tantum.",No Time Found,Latin,No POS found
1,a,"a
                  
                  
                  (Adverb)
                  ""at,"" ""in""
               
                    A post-Latin development from the 12th cent., deriving from Latin ad ""to,"" ""toward.""
                    From Proto-Italic *ad 'id.' From Proto-Indo-European *h2ed 'id.'
                 

Indo-European




Romance
Asturian a, Portuguese a, Galician a, Catalan a, French à, Italian a, ad, Romanian a


Italic
Oscan az ""by"" (< *ad-s)


Celtic
Welsh â


Germanic
Gothic at, Old Icelandic at, Old English æt (English at)

 
Indo-European

 
Romance
Asturian a, Portuguese a, Galician a, Catalan a, French à, Italian a, ad, Romanian a
 
Italic
Oscan az ""by"" (< *ad-s)
 
Celtic
Welsh â
 
Germanic
Gothic at, Old Icelandic at, Old English æt (English at)",12th cent.,Latin,Adverb
2,-a (2),"-a (2)
                  
                  
                  
                  Forms masculine nouns.
               
                    From Vulgar Latin *-a 'id.' According to Penny (2002), the ending probably survived in Old Spanish only in día as other masculine nouns with this ending were the result of scholastic remodeling under the influence of Classical Latin. From Latin -a, the first declension's nominative singular ending.
                    From Proto-Italic *-ā 'id.' From Proto-Indo-European *-eh2, a nominative singular ending. See also -a (1).",No Time Found,Vulgar Latin,No POS found
3,ab-,"ab-
                  
                  Prefix indicating ""off"" or ""away""
                  
                  
               
                    Not a productive prefix in Spanish, and it appears only as a relic in verbs like abrir. From Latin ab 'id.'
                    From Proto-Italic *ap- 'id.' From Proto-Indo-European *h2epo 'id.' As an allative preposition, the word had a full grade *h2epo (preserved in the prefix ab- above) and a zero grade *h2po (preserved in the prefix po-).
                 

Indo-European




Italic
Umbrian ap-, Paelignian af-, Oscan af-


Germanic
Gothic af, aff-, Old Norse af, Old High German aba, Old Saxon af, English of


Albanian
Albanian pa ""without""


Balto-Slavic
Lithuanian po-, Latvian ap ""beneath,"" Old Church Slavonic po, Russian po


Hellenic
Ancient Greek ἀπό (apó) ""far from""


Messapian
Messapian apa ""from""


Indo-Iranian
Sanskrit ápa ""away,"" Avestan apa-

 
Indo-European

 
Italic
Umbrian ap-, Paelignian af-, Oscan af-
 
Germanic
Gothic af, aff-, Old Norse af, Old High German aba, Old Saxon af, English of
 
Albanian
Albanian pa ""without""
 
Balto-Slavic
Lithuanian po-, Latvian ap ""beneath,"" Old Church Slavonic po, Russian po
 
Hellenic
Ancient Greek ἀπό (apó) ""far from""
 
Messapian
Messapian apa ""from""
 
Indo-Iranian
Sanskrit ápa ""away,"" Avestan apa-",No Time Found,Latin,No POS found
4,abajo,"abajo
                  
                  
                  (Adverb)
                  ""down,"" ""below""
               
                    First attested c. 1300 but was rarely used until the 15th cent. Formed from Latin a(d)- ""at,"" ""toward"" and bassus ""down"" (see a- and bajo respectively).
                    
                 
                  Also the origin of the surname Abajo, given to Moorish families that lived in the lowlands of Spain.
                 

Indo-European




Romance
Asturian (Teberga) abaxu, Portuguese abaixo, Galician abaixo, Catalan abaixo, French à bas

 
Indo-European

 
Romance
Asturian (Teberga) abaxu, Portuguese abaixo, Galician abaixo, Catalan abaixo, French à bas",14th cent.,Latin,Adverb
6,abierto,"abierto
                  
                  
                  (Adjective)
                  ""open""
               
                    12th cent. From Latin apertus 'id.,' from aperire ""to open."" See abrir.",12th cent.,Latin,Adjective
7,"-able, -ible","-able, -ible
                  
                  Prefix indicating ability or inclination.
                  
                  
               
                    From Latin -abilis and -ibilis, of identical meanings, both from an a-stem and an i-stem fixed to -bilis ""capability.""
                    From Proto-Italic *-þli- 'id.' From the Proto-Indo-European instrumental suffix *-dhli-.",No Time Found,Latin,No POS found
8,ablentar,"ablentar
                  
                  
                  (Verb)
                  ""to winnow""
               
                    Dialect variant of beldar. From a- and Old Spanish bendlar (a variant bedlar, without the -n-, became the basis for beldar). Formed from 13th cent. Old Spanish bellar via dissimilation. From Latin ventilare ""to fan,"" a verb formed from ventulus ""light breeze"" (but lit. ""little wind""), a diminutive of ventus ""wind"" (see viento).
                    
                 

Indo-European




Romance
Sardinian bentulai

 
Indo-European

 
Romance
Sardinian bentulai",13th cent.,Old Spanish,Verb
9,abogado,"abogado
                  
                  
                  (Noun)
                  ""lawyer,"" ""advocate,"" ""counsel""
               
                    13th cent. From Latin advocatus ""aide,"" ""advocate,"" ""witness."" From advocare ""to advocate"" (see abogar).
                    
                 
                  Historically, abogada meant ""interceding saint;"" the profession of advocate was exclusive to men prior to the 1960s.
                 

Indo-European




Romance
Asturian abogáu, Portuguese advogado, Catalan advocat, Old French avocat, Italian avvocato, Dalmatian abucat, Romanian a(d)vocat

 
Indo-European

 
Romance
Asturian abogáu, Portuguese advogado, Catalan advocat, Old French avocat, Italian avvocato, Dalmatian abucat, Romanian a(d)vocat",13th cent.,Latin,Noun
10,abogar,"abogar
                  
                  
                  (Verb)
                  ""to plead""
               
                    13th cent. From Latin advocare ""to summon."" From ad- ""toward"" (see a-) and vocare ""to call."" Vocare is a verb derived from vox ""voice"" (see voz).
                    
                 

Indo-European




Romance
Asturian abogar, Portuguese advogar, Catalan advocar, French avouer, Italian avvocare

 
Indo-European

 
Romance
Asturian abogar, Portuguese advogar, Catalan advocar, French avouer, Italian avvocare",13th cent.,Latin,Verb
